chromosome,start,end,value
1,1325099,1331169,0.00668
1,1331466,1333651,0.01244
1,1334533,1336704,0.00108
1,1336274,1337849,0.00122
1,1339588,1340565,0.01109
1,1340553,1343793,0.00411
1,1344989,1348868,0.01086
1,1348452,1349478,0.00558
1,1350080,1355466,0.01033
1,1356084,1358547,0.00861
1,1358574,1362019,0.00507
1,1362227,1365027,0.00564
1,1365107,1368940,0.00779
1,1369036,1373103,0.00178
1,1373234,1375821,0.01285
1,1375824,1379228,0.0128
1,1380382,1382599,0.00965
1,1383008,1383422,0.00701
1,1383841,1387895,0.00899
1,1387871,1391381,0.00455
1,1391434,1395953,0.00196
1,1396265,1399122,0.00535
1,1399174,1403112,0.00224
1,1399182,1400830,0.01168
1,1403085,1407531,0.00174
1,1407772,1410933,0.00387
1,1411088,1413627,0.00565
1,1413644,1416218,0.01201
1,1416342,1419027,0.00954
1,1418612,1421863,0.00678
1,1425539,1428869,0.00617
1,1429048,1430056,0.00577
1,1431177,1433010,0.00443
1,1435155,1437763,0.00848
1,1438048,1441933,0.0062
1,1444983,1446116,0.00042
1,1447369,1448463,0.00516
1,1448631,1450901,0.00392
1,1451002,1452872,0.0128
1,1454606,1455322,0.00094
1,1457007,1458802,0.00037
1,1459091,1460579,0.0111
1,1460988,1461670,0.00961
1,1463108,1464173,0.01246
1,1464239,1465875,0.00146
1,1469541,1470881,0.01129
1,1471323,1476289,0.00693
1,1478923,1479063,0.00652
1,1482546,1484059,6e-05
1,1484067,1487027,0.01172
1,1487378,1491005,0.00454
1,1490974,1494248,0.0053
1,1498114,1501953,0.00517
1,1502251,1503853,0.01169
1,1504941,1509152,0.00169
1,1509103,1510341,0.00485
1,1510404,1511683,0.01218
1,1511895,1512842,0.00021
1,1512896,1518900,0.01135
1,1520278,1523023,0.00565
1,1525601,1527360,0.00328
1,1529767,1531484,0.00614
1,1531641,1534767,0.007
1,1534830,1537602,0.00793
1,1539152,1540562,0.00182
1,1541348,1542432,0.00552
1,1544927,1547849,0.0026
1,1550503,1552587,0.00399
1,1553568,1557848,0.00326
1,1558058,1558745,0.01286
1,1558778,1559917,0.00547
1,1560678,1564409,0.00284
1,1564491,1567508,0.0119
1,1569147,1572469,0.00259
1,1576822,1582672,0.00875
1,1582671,1583760,0.01133
1,1584073,1585421,0.00569
1,1585371,1587794,0.00588
1,1589973,1591012,0.00603
1,1594053,1595923,0.00529
1,1596007,1597940,0.0055
1,1599876,1601214,0.00333
1,1601148,1605034,0.00466
1,1607202,1611840,0.00671
1,1618504,1623489,0.0
1,1624919,1629289,0.00405
1,1629446,1630863,0.00574
1,1630849,1636018,0.00065
1,1636249,1637914,0.00231
1,1639223,1640879,0.00396
1,1640959,1643917,0.00332
1,1645300,1647435,0.005
1,1647575,1659611,0.00484
1,1661550,1662259,0.01045
1,1662352,1664398,0.00787
1,1665356,1668924,0.01285
1,1669350,1671902,0.00397
1,1671916,1673923,3e-05
1,1673861,1676077,0.00144
1,1677507,1678270,0.00784
1,1678881,1681710,0.00314
1,1682224,1687363,0.01019
1,1687436,1689955,0.01048
1,1690002,1692179,0.00561
1,1694070,1696191,0.011
1,1697541,1701065,0.00661
1,1701116,1702749,0.00943
1,1703002,1704838,0.00398
1,1706736,1709360,0.00865
1,1709673,1713474,0.01136
1,1714818,1717290,0.00646
1,1717389,1718909,0.00133
1,1718555,1720587,0.01191
1,1720593,1721309,0.00783
1,1721509,1724734,0.00922
1,1723734,1724534,0.01108
1,1725388,1726321,0.00849
1,1726558,1728520,0.0125
1,1728658,1729789,0.01061
1,1730242,1732657,0.00858
1,1732802,1737583,0.00675
1,1741204,1742619,0.00497
1,1744444,1747734,0.00786
1,1748259,1749526,0.00622
1,1749478,1754036,0.00503
1,1754130,1761909,0.00043
1,1762145,1762814,0.00032
1,1762734,1766283,0.0027
1,1766503,1768837,0.01141
1,1768986,1771286,0.01088
1,1771385,1773385,0.00529
1,1775643,1778553,0.00709
1,1779256,1784675,0.01113
1,1784736,1786326,0.00943
1,1786849,1789737,0.00285
1,1790216,1796715,0.00946
1,1796778,1798254,0.00479
1,1799418,1800933,0.00139
1,1801110,1804000,0.00775
1,1804401,1807670,0.00163
1,1807960,1815568,0.01219
1,1815825,1817336,0.01034
1,1818392,1819184,0.00283
1,1820308,1821894,0.00774
1,1822583,1824236,0.0112
1,1824250,1826163,0.01104
1,1826803,1828279,0.01255
1,1828340,1829983,0.00954
1,1829522,1829865,0.00215
1,1830471,1832555,0.00089
1,1832941,1834861,0.00387
1,1834829,1837758,0.00382
1,1843463,1846311,0.00787
1,1846701,1849693,0.00854
1,1851472,1853019,0.00834
1,1853059,1855378,0.01231
1,1855910,1857718,0.00852
1,1857757,1860938,0.0022
1,1862184,1862742,0.00092
1,1863425,1863840,0.00906
1,1864774,1866999,0.01127
1,1867037,1868905,0.00801
1,1868989,1873730,0.00881
1,1874885,1877573,0.00277
1,1882907,1883992,0.00869
1,1884981,1886904,0.01098
1,1889362,1891276,0.00797
1,1892231,1894194,0.00234
1,1894289,1897027,0.00218
1,1897129,1899237,0.0097
1,1899951,1904897,0.00091
1,1905918,1906298,0.00654
1,1906963,1911056,0.00198
1,1911095,1913295,0.00383
1,1913175,1914895,1e-05
1,1916430,1917585,0.00979
1,1917991,1919760,0.00794
1,1920307,1920949,0.0003
1,1922208,1926278,0.00491
1,1926652,1930397,0.00688
1,1930523,1931449,0.01094
1,1931229,1932429,0.01116
1,1933284,1934103,0.00157
1,1935227,1936841,0.00742
1,1938862,1940496,0.01073
1,1944993,1946303,0.00109
1,1946746,1950860,0.01262
1,1950596,1952880,0.00555
1,1954674,1958866,0.01185
1,1958878,1960027,0.00619
1,1960031,1963189,0.00317
1,1963301,1965209,0.0122
1,1965840,1967219,0.00913
1,1967087,1969656,0.00594
1,1969658,1974526,0.00155
1,1973834,1974407,0.00468
1,1978378,1989409,0.00511
1,1989479,1990730,0.00799
1,1990634,1992228,0.01003
1,1992229,1993841,0.01182
1,1993903,1996355,0.00373
1,2001382,2002802,0.01121
1,2001406,2003446,0.0112
1,2003627,2007212,0.0073
1,2007615,2012006,0.01136
1,2011885,2013545,0.00211
1,2013996,2016273,0.0036
1,2016306,2024749,0.00313
1,2025544,2027413,0.01109
1,2027606,2031388,0.0006
1,2031626,2034112,0.00511
1,2034156,2035824,0.00913
1,2035718,2037366,0.00919
1,2037311,2040419,0.00048
1,2040410,2047655,0.00308
1,2047634,2049439,0.01237
1,2049400,2052170,0.00748
1,2052370,2055548,0.01242
1,2055745,2060429,0.00179
1,2060444,2067483,0.00821
1,2067509,2070455,0.01298
1,2070737,2073374,0.00737
1,2072979,2076505,0.0054
1,2076504,2077767,0.00209
1,2078880,2082097,0.01124
1,2083311,2087141,0.0045
1,2087182,2089786,0.0004
1,2089417,2091686,0.00386
1,2091738,2092539,0.00333
1,2092946,2096784,0.0112
1,2097106,2097655,0.00014
1,2097747,2103507,0.00989
1,2105048,2106749,0.01087
1,2108512,2110986,0.0068
1,2111323,2114686,0.00544
1,2114765,2120745,0.01095
1,2120991,2123801,0.00026
1,2124676,2125902,0.00373
1,2126670,2127570,0.00568
1,2127704,2128611,0.0127
1,2128843,2129883,0.00087
1,2130053,2135703,0.00209
1,2135810,2137838,0.00603
1,2137871,2140975,0.00664
1,2142939,2143977,0.0026
1,2148342,2150152,0.0098
1,2150158,2152541,0.00921
1,2152798,2155269,0.00755
1,2155213,2156153,0.01191
1,2157658,2158158,0.00587
1,2158413,2160818,0.00133
1,2160919,2163387,0.01144
1,2163575,2165261,0.00761
1,2166348,2168397,0.0019
1,2168561,2169957,0.01207
1,2169977,2172194,0.01158
1,2173952,2175038,0.00556
1,2178022,2184193,0.00931
1,2184759,2186627,0.00172
1,2187776,2188733,0.00196
1,2189877,2190784,0.01211
1,2191679,2193836,0.01048
1,2193941,2195996,0.00856
1,2197854,2199773,0.01085
1,2199997,2201272,0.00093
1,2202278,2203366,0.01186
1,2204104,2207099,0.00475
1,2208013,2208177,0.00755
1,2208477,2212718,0.00967
1,2215216,2216982,0.01123
1,2216925,2219649,0.00747
1,2220181,2223018,0.01049
1,2223625,2225524,0.00454
1,2225759,2227608,0.00715
1,2227594,2229357,0.01207
1,2229444,2233017,0.00696
1,2238017,2241471,0.00612
1,2242012,2244992,0.00948
1,2245693,2247240,0.00092
1,2247112,2248961,0.00531
1,2248967,2250529,0.00488
1,2250920,2254036,0.00327
1,2254822,2256850,0.0018
1,2257384,2260187,0.0041
1,2260317,2262923,0.01106
1,2263037,2264553,0.00237
1,2264634,2269121,0.01069
1,2269622,2274901,0.0017
1,2274926,2275783,0.00513
1,2276030,2277524,0.00506
1,2277555,2280502,0.01252
1,2280746,2282828,0.00715
1,2286185,2287791,0.00204
1,2287926,2289336,0.0012
1,2289959,2291101,0.01245
1,2291369,2294558,0.00859
1,2294566,2295489,0.00074
1,2295553,2296497,0.00653
1,2296023,2299544,0.01253
1,2301375,2302121,0.00263
1,2301380,2302021,0.00872
1,2304435,2312399,0.00725
1,2304766,2305031,0.00216
1,2309534,2312385,0.00737
1,2313581,2316507,0.00677
1,2318143,2321664,0.00148
1,2322543,2326570,0.01039
1,2327315,2331148,0.00882
1,2331136,2333767,0.00958
1,2336477,2339391,0.01261
1,2338904,2339321,0.00538
1,2341447,2342148,0.00713
1,2342198,2344314,0.00047
1,2344390,2346889,0.00248
1,2348915,2351799,0.00831
1,2353031,2356413,0.01157
1,2359111,2366736,0.00119
1,2367437,2368436,0.01177
1,2368833,2369735,0.00639
1,2370020,2374607,0.00509
1,2376012,2377186,0.00914
1,2377976,2379207,0.0015
1,2379595,2381390,0.00921
1,2381555,2386157,0.00814
1,2386164,2388350,0.00317
1,2390531,2392628,0.0011
1,2394801,2397272,0.00152
1,2397442,2400508,0.00851
1,2397527,2398696,0.00278
1,2400589,2402942,0.00344
1,2403558,2403845,0.0114
1,2403992,2406049,0.0031
1,2407411,2409791,0.01071
1,2409865,2412777,0.00666
1,2412938,2413790,0.01211
1,2414143,2414967,0.00257
1,2416178,2420829,0.00635
1,2421089,2422066,0.01217
1,2422126,2423803,0.00982
1,2424045,2426728,0.00254
1,2426705,2429225,0.0046
1,2428773,2432091,0.00582
1,2428911,2429431,0.00858
1,2433896,2435858,0.01279
1,2435858,2436861,0.00381
1,2437281,2439665,0.01156
1,2442570,2443746,0.00959
1,2443918,2445140,0.00164
1,2443971,2444123,0.01151
1,2445437,2454645,0.00361
1,2454771,2457321,0.00579
1,2458184,2460817,0.0061
1,2462949,2465545,0.00305
1,2465729,2467165,0.01112
1,2467145,2469316,0.00775
1,2469218,2472806,0.00892
1,2473165,2475128,0.01255
1,2475226,2476167,0.01152
1,2476953,2483196,0.00968
1,2483240,2485726,0.01233
1,2485281,2485724,0.01241
1,2485848,2488085,0.00193
1,2489409,2493327,0.00631
1,2494402,2495313,0.0089
1,2495309,2498764,0.0086
1,2498794,2501581,0.0126
1,2501704,2511084,0.01083
1,2511647,2513454,0.0047
1,2514150,2516620,0.00473
1,2516991,2518611,0.00446
1,2524023,2526322,0.00616
1,2527170,2529120,0.00748
1,2535251,2537932,0.00463
1,2538615,2539661,0.01145
1,2539614,2542362,0.0108
1,2542663,2547946,0.00378
1,2548496,2551544,0.00138
1,2551935,2555229,0.00492
1,2556191,2559228,0.00804
1,2559413,2560432,0.01086
1,2561449,2562316,0.01075
1,2562769,2563706,0.00917
1,2564361,2565318,0.00795
1,2567420,2573448,0.00512
1,2573818,2576844,0.00578
1,2576984,2580754,0.0063
1,2581022,2583390,0.00375
1,2583594,2586969,0.00817
1,2588776,2590609,0.00046
1,2588854,2606892,0.0092
1,2606269,2607507,0.01145
1,2607877,2609971,0.00273
1,2609996,2613377,0.00297
1,2614774,2618823,0.00117
1,2618647,2620452,0.00213
1,2620335,2621545,0.00686
1,2621860,2628594,0.00541
1,2630891,2632871,0.00998
1,2632810,2635866,0.01005
1,2635939,2638004,0.00777
1,2638037,2640663,0.00281
1,2640803,2641934,0.00322
1,2642072,2643285,0.01117
1,2643019,2646048,0.00038
1,2646144,2649440,0.01148
1,2649459,2657120,0.00403
1,2658602,2661310,0.0033
1,2662967,2665584,0.00429
1,2667798,2671957,0.00647
1,2672198,2674721,0.00028
1,2675813,2679824,0.01281
1,2682058,2684171,0.01022
1,2684176,2685702,0.00344
1,2685659,2688658,0.01102
1,2688880,2690250,0.00227
1,2691062,2694547,0.00878
1,2696381,2701022,0.00616
1,2700981,2703162,0.01014
1,2703295,2706860,0.00129
1,2706868,2709988,0.00355
1,2709525,2711000,0.00971
1,2712694,2714833,0.0013
1,2714994,2716532,0.0058
1,2718538,2722280,0.00093
1,2723677,2733613,0.00384
1,2733596,2735819,0.00247
1,2736656,2743881,0.00634
1,2743761,2747967,0.01006
1,2748361,2751620,0.01074
1,2751813,2752595,0.01279
1,2752124,2753809,0.00891
1,2756904,2759889,0.01063
1,2760183,2761599,0.00669
1,2762584,2768967,0.00529
1,2768965,2769508,0.00932
1,2769615,2771477,2e-05
1,2771620,2773531,0.00255
1,2773941,2779308,0.00405
1,2779438,2788477,0.0043
1,2801042,2804711,0.00463
1,2805044,2808623,0.00065
1,2808760,2809775,0.00547
1,2809778,2811313,0.00324
1,2811989,2812782,0.00181
1,2812818,2818071,0.00774
1,2819065,2820478,0.00836
1,2821354,2825481,0.00685
1,2827060,2829315,0.00794
1,2829105,2838855,0.00133
1,2838789,2841134,0.00309
1,2841969,2846350,0.00664
1,2846894,2848100,0.00424
1,2848149,2852270,0.00508
1,2852363,2855941,0.00355
1,2856162,2861170,0.00817
1,2867203,2870745,0.00776
1,2873300,2877270,0.01031
1,2877430,2879169,0.00107
1,2879506,2882234,0.00541
1,2882491,2884342,0.0045
1,2884351,2886621,0.0107
1,2887245,2887706,0.00655
1,2888427,2890965,0.01199
1,2891019,2895182,0.0021
1,2895166,2899446,0.0109
1,2899776,2904862,0.00162
1,2908611,2909032,0.00727
1,2911250,2915406,0.00251
1,2916968,2921111,0.01227
1,2921064,2925826,0.00659
1,2927502,2929107,0.01096
1,2929217,2931850,0.01264
1,2932739,2936586,0.00739
1,2936528,2939363,0.00015
1,2939568,2942345,0.00349
1,2942538,2945976,0.00743
1,2946030,2949159,0.00393
1,2949621,2950989,0.00948
1,2951635,2952490,0.00673
1,2952597,2955745,0.00043
1,2956261,2962546,0.00778
1,2964015,2964727,0.0054
1,2965023,2965972,0.00523
1,2966120,2967733,0.01199
1,2967940,2971568,0.00056
1,2971571,2972334,0.00796
1,2972638,2977002,0.00713
1,2977792,2979466,0.0091
1,2979511,2982713,0.00265
1,2984829,2986231,0.0102
1,2986874,2987393,0.0084
1,2989141,2990427,0.00368
1,2993381,2993820,0.00916
1,2994331,2998222,0.00779
1,2998100,3001362,0.01048
1,3001439,3003762,0.00303
1,3003495,3008381,0.01061
1,3008910,3009898,0.01068
1,3009890,3012407,0.01234
1,3012739,3015255,0.01168
1,3015237,3018542,0.00571
1,3019639,3021443,0.00086
1,3021802,3022368,0.01106
1,3024877,3025539,0.01253
1,3026062,3029549,0.00745
1,3031046,3033582,0.00876
1,3033512,3035396,0.00655
1,3035400,3037687,0.00412
1,3037754,3038408,0.00225
1,3038462,3041873,0.001
1,3041996,3045541,0.00786
1,3045259,3048006,0.00039
1,3048966,3053163,0.00579
1,3053698,3055360,0.00913
1,3055231,3057543,0.01096
1,3057975,3060757,0.00791
1,3061170,3061743,0.01059
1,3063936,3065949,0.00976
1,3066674,3068796,0.01288
1,3069357,3070910,0.00983
1,3070915,3072074,0.0121
1,3075768,3079654,0.01018
1,3086101,3087914,0.00019
1,3089576,3092327,0.00604
1,3093644,3094954,0.01012
1,3095160,3100819,0.01216
1,3101149,3103677,0.01188
1,3104492,3106366,0.00532
1,3106367,3107801,0.00803
1,3107896,3111552,0.00013
1,3111694,3112873,0.01288
1,3112778,3116699,0.01294
1,3117137,3117567,0.00984
1,3118155,3119815,0.00289
1,3119739,3122542,0.00646
1,3122926,3124667,0.00121
1,3125175,3127284,0.01245
1,3127762,3131094,0.01179
1,3133008,3133674,0.00888
1,3133885,3135976,0.0123
1,3136188,3137684,0.01062
1,3137649,3140353,0.00239
1,3140862,3144381,0.00554
1,3144438,3147303,0.00682
1,3147637,3154404,0.00806
1,3154390,3156376,0.01286
1,3157501,3159148,1e-05
1,3159125,3161692,0.00616
1,3161832,3165616,0.00254
1,3165370,3167924,0.00202
1,3168434,3171018,0.00512
1,3171905,3173510,0.0092
1,3173534,3176910,0.00884
1,3176883,3180734,0.0031
1,3180926,3184224,7e-05
1,3187442,3188854,0.00622
1,3189301,3190242,0.00504
1,3190254,3192488,0.0017
1,3192568,3195044,0.00862
1,3195719,3200403,0.00332
1,3201685,3204150,0.00852
1,3204016,3205411,0.00225
1,3205579,3208714,0.00268
1,3208712,3213468,0.01103
1,3214049,3217603,0.00746
1,3218133,3219929,0.00826
1,3220035,3224541,0.00845
1,3224684,3227083,0.00532
1,3227490,3230257,0.01249
1,3230450,3233259,0.00086
1,3233924,3235530,0.01019
1,3236908,3239554,0.00564
1,3240531,3241863,0.00649
1,3243986,3247216,0.00161
1,3252098,3255782,0.00166
1,3256189,3261741,0.00158
1,3262222,3263642,0.01058
1,3263850,3265176,0.00675
1,3265886,3268823,0.00155
1,3269539,3272110,0.00773
1,3273753,3275953,0.00911
1,3275891,3278779,0.00698
