chr,start,end
1,495050,496332
1,496372,497555
1,497917,498539
1,504463,507268
1,511765,513721
1,513699,515422
1,516569,516866
1,518091,520495
1,520498,521668
1,523536,529069
1,529679,534677
1,534827,535699
1,536483,537211
1,537740,540127
1,541236,542245
1,543011,544057
1,544733,549202
1,552138,552761
1,553019,556152
1,557092,558774
1,560610,562598
1,564018,567771
1,568558,570554
1,571826,575085
1,575922,580532
1,580625,582310
1,584134,587327
1,588003,589480
1,589584,590406
1,589706,589996
1,591682,594264
1,594502,598657
1,599330,602199
1,602489,604387
1,604873,606708
1,607799,609534
1,610363,612324
1,613197,616231
1,618061,620502
1,620678,621329
1,621453,623054
1,623656,624567
1,625084,625608
1,626639,629993
1,630374,633420
1,635144,637262
1,637214,638681
1,642505,644903
1,645084,652001
1,653604,654457
1,655568,658216
1,658578,659980
1,661088,662475
1,662963,664290
1,665119,666471
1,666807,669919
1,671661,672814
1,673306,676419
1,677360,681378
1,681331,687385
1,687795,692660
1,693190,696504
1,697919,698591
1,701365,703929
1,703847,706689
1,707485,710041
1,710018,711857
1,712440,727553
1,729830,731565
1,731554,738306
1,739544,744184
1,743885,746701
1,747197,748057
1,748101,749034
1,749246,751976
1,752191,753140
1,753307,754262
1,754261,756303
1,756414,758678
1,761261,766194
1,766336,767324
1,768376,770684
1,773358,775362
1,775527,780062
1,780519,782946
1,782904,784346
1,786832,788722
1,789820,791689
1,792222,793060
1,793315,795403
1,795449,798491
1,799115,802625
1,802970,807066
1,807361,813216
1,811033,813086
1,813413,816812
1,816989,817767
1,817053,817178
1,817934,819563
1,819612,821476
1,822582,824410
1,824517,826399
1,826523,830393
1,830550,835411
1,835767,841373
1,841033,842418
1,841677,842158
1,842659,844251
1,844436,847683
1,847793,849621
1,852151,854297
1,854410,859701
1,860761,864372
1,865895,867733
1,868853,871308
1,871874,872906
1,873166,874476
1,876087,877556
1,877861,880259
1,880384,883599
1,883683,885611
1,885623,887956
1,890155,892492
1,894238,897718
1,898480,899794
1,900732,903070
1,904032,907643
1,907523,909650
1,910023,911292
1,911310,913808
1,914222,916222
1,916772,918064
1,918285,920592
1,920950,922098
1,923390,924730
1,924896,926373
1,930715,931985
1,933426,937152
1,937826,941162
1,941062,943377
1,944572,947682
1,947520,951850
1,954290,956144
1,957104,958383
1,958759,959609
1,959790,960916
1,961684,966790
1,967470,970334
1,975871,977911
1,979307,982002
1,982381,983544
1,985751,988146
1,989198,991020
1,991106,993126
1,993400,995989
1,996076,1000629
1,1001116,1004410
1,1004688,1008370
1,1009228,1011145
1,1011151,1013365
1,1013643,1017957
1,1018058,1019247
1,1019311,1022108
1,1022251,1023719
1,1024740,1027616
1,1027853,1029119
1,1030957,1036264
1,1036493,1040262
1,1040375,1042892
1,1042362,1043887
1,1045598,1049864
1,1050505,1051194
1,1051312,1056827
1,1057041,1059454
1,1059470,1061209
1,1059730,1060348
1,1061297,1063809
1,1064264,1071080
1,1073274,1075568
1,1075543,1080630
1,1081024,1084431
1,1086170,1096510
1,1096882,1099901
1,1104493,1106241
1,1106354,1108725
1,1109395,1114155
1,1114375,1119739
1,1119699,1122786
1,1125515,1128788
1,1128149,1129689
1,1136078,1138663
1,1140278,1141564
1,1141558,1143130
1,1143436,1147091
1,1147297,1148533
1,1148564,1154667
1,1154740,1157813
1,1161289,1161982
1,1162905,1164861
1,1164910,1167135
1,1167288,1169034
1,1175033,1175768
1,1176544,1178488
1,1179310,1183704
1,1185512,1188696
1,1188995,1191458
1,1191519,1193884
1,1197956,1201579
1,1202160,1206009
1,1206760,1207939
1,1208521,1210026
1,1210269,1210622
1,1210924,1214841
1,1215925,1217471
1,1217690,1220899
1,1221411,1224539
1,1226483,1230947
1,1231452,1234032
1,1234176,1236206
1,1236754,1239199
1,1240294,1242157
1,1242506,1244244
1,1244947,1246059
1,1246601,1248876
1,1252005,1257893
1,1258556,1261470
1,1261762,1272588
1,1279351,1281618
1,1282163,1286619
1,1287831,1289820
1,1289734,1291112
1,1291300,1292024
1,1292023,1293398
1,1293770,1294263
1,1294627,1299023
1,1300368,1301773
1,1301829,1302758
1,1303467,1307973
1,1313443,1315823
1,1316139,1321000
1,1321885,1324840
1,1325099,1331169
1,1331466,1333651
1,1334533,1336704
1,1336274,1337849
1,1339588,1340565
1,1340553,1343793
1,1344989,1348868
1,1348452,1349478
1,1350080,1355466
1,1356084,1358547
1,1358574,1362019
1,1362227,1365027
1,1365107,1368940
1,1369036,1373103
1,1373234,1375821
1,1375824,1379228
1,1380382,1382599
1,1383008,1383422
1,1383841,1387895
1,1387871,1391381
1,1391434,1395953
1,1396265,1399122
1,1399174,1403112
1,1399182,1400830
1,1403085,1407531
1,1407772,1410933
1,1411088,1413627
1,1413644,1416218
1,1416342,1419027
1,1418612,1421863
1,1425539,1428869
1,1429048,1430056
1,1431177,1433010
1,1435155,1437763
1,1438048,1441933
1,1444983,1446116
1,1447369,1448463
1,1448631,1450901
1,1451002,1452872
1,1454606,1455322
1,1457007,1458802
1,1459091,1460579
1,1460988,1461670
1,1463108,1464173
1,1464239,1465875
1,1469541,1470881
1,1471323,1476289
1,1478923,1479063
1,1482546,1484059
1,1484067,1487027
1,1487378,1491005
1,1490974,1494248
1,1498114,1501953
1,1502251,1503853
1,1504941,1509152
1,1509103,1510341
1,1510404,1511683
1,1511895,1512842
1,1512896,1518900
1,1520278,1523023
1,1525601,1527360
1,1529767,1531484
1,1531641,1534767
1,1534830,1537602
1,1539152,1540562
1,1541348,1542432
1,1544927,1547849
1,1550503,1552587
1,1553568,1557848
1,1558058,1558745
1,1558778,1559917
1,1560678,1564409
1,1564491,1567508
1,1569147,1572469
1,1576822,1582672
1,1582671,1583760
1,1584073,1585421
1,1585371,1587794
1,1589973,1591012
1,1594053,1595923
1,1596007,1597940
1,1599876,1601214
1,1601148,1605034
1,1607202,1611840
1,1618504,1623489
1,1624919,1629289
1,1629446,1630863
1,1630849,1636018
1,1636249,1637914
1,1639223,1640879
1,1640959,1643917
1,1645300,1647435
1,1647575,1659611
1,1661550,1662259
1,1662352,1664398
1,1665356,1668924
1,1669350,1671902
1,1671916,1673923
1,1673861,1676077
1,1677507,1678270
1,1678881,1681710
1,1682224,1687363
1,1687436,1689955
1,1690002,1692179
1,1694070,1696191
1,1697541,1701065
1,1701116,1702749
1,1703002,1704838
1,1706736,1709360
1,1709673,1713474
1,1714818,1717290
1,1717389,1718909
1,1718555,1720587
1,1720593,1721309
1,1721509,1724734
1,1723734,1724534
1,1725388,1726321
1,1726558,1728520
1,1728658,1729789
1,1730242,1732657
1,1732802,1737583
1,1741204,1742619
1,1744444,1747734
1,1748259,1749526
1,1749478,1754036
1,1754130,1761909
1,1762145,1762814
1,1762734,1766283
1,1766503,1768837
1,1768986,1771286
1,1771385,1773385
1,1775643,1778553
1,1779256,1784675
1,1784736,1786326
1,1786849,1789737
1,1790216,1796715
1,1796778,1798254
1,1799418,1800933
1,1801110,1804000
1,1804401,1807670
1,1807960,1815568
1,1815825,1817336
1,1818392,1819184
1,1820308,1821894
1,1822583,1824236
1,1824250,1826163
1,1826803,1828279
1,1828340,1829983
1,1829522,1829865
1,1830471,1832555
1,1832941,1834861
1,1834829,1837758
1,1843463,1846311
1,1846701,1849693
1,1851472,1853019
1,1853059,1855378
1,1855910,1857718
1,1857757,1860938
1,1862184,1862742
1,1863425,1863840
1,1864774,1866999
1,1867037,1868905
1,1868989,1873730
1,1874885,1877573
1,1882907,1883992
1,1884981,1886904
1,1889362,1891276
1,1892231,1894194
1,1894289,1897027
1,1897129,1899237
1,1899951,1904897
1,1905918,1906298
1,1906963,1911056
1,1911095,1913295
1,1913175,1914895
1,1916430,1917585
1,1917991,1919760
1,1920307,1920949
1,1922208,1926278
1,1926652,1930397
1,1930523,1931449
1,1931229,1932429
1,1933284,1934103
1,1935227,1936841
1,1938862,1940496
1,1944993,1946303
1,1946746,1950860
1,1950596,1952880
1,1954674,1958866
1,1958878,1960027
1,1960031,1963189
1,1963301,1965209
1,1965840,1967219
1,1967087,1969656
1,1969658,1974526
1,1973834,1974407
1,1978378,1989409
1,1989479,1990730
1,1990634,1992228
1,1992229,1993841
1,1993903,1996355
1,2001382,2002802
1,2001406,2003446
1,2003627,2007212
1,2007615,2012006
1,2011885,2013545
1,2013996,2016273
1,2016306,2024749
1,2025544,2027413
1,2027606,2031388
1,2031626,2034112
1,2034156,2035824
1,2035718,2037366
1,2037311,2040419
1,2040410,2047655
1,2047634,2049439
1,2049400,2052170
1,2052370,2055548
1,2055745,2060429
1,2060444,2067483
1,2067509,2070455
1,2070737,2073374
1,2072979,2076505
1,2076504,2077767
1,2078880,2082097
1,2083311,2087141
1,2087182,2089786
1,2089417,2091686
1,2091738,2092539
1,2092946,2096784
1,2097106,2097655
1,2097747,2103507
1,2105048,2106749
1,2108512,2110986
1,2111323,2114686
1,2114765,2120745
1,2120991,2123801
1,2124676,2125902
1,2126670,2127570
1,2127704,2128611
1,2128843,2129883
1,2130053,2135703
1,2135810,2137838
1,2137871,2140975
1,2142939,2143977
1,2148342,2150152
1,2150158,2152541
1,2152798,2155269
1,2155213,2156153
1,2157658,2158158
1,2158413,2160818
1,2160919,2163387
1,2163575,2165261
1,2166348,2168397
1,2168561,2169957
1,2169977,2172194
1,2173952,2175038
1,2178022,2184193
1,2184759,2186627
1,2187776,2188733
1,2189877,2190784
1,2191679,2193836
1,2193941,2195996
1,2197854,2199773
1,2199997,2201272
1,2202278,2203366
1,2204104,2207099
1,2208013,2208177
1,2208477,2212718
1,2215216,2216982
1,2216925,2219649
1,2220181,2223018
1,2223625,2225524
1,2225759,2227608
1,2227594,2229357
1,2229444,2233017
1,2238017,2241471
1,2242012,2244992
1,2245693,2247240
1,2247112,2248961
1,2248967,2250529
1,2250920,2254036
1,2254822,2256850
1,2257384,2260187
1,2260317,2262923
1,2263037,2264553
1,2264634,2269121
1,2269622,2274901
1,2274926,2275783
1,2276030,2277524
1,2277555,2280502
1,2280746,2282828
1,2286185,2287791
1,2287926,2289336
1,2289959,2291101
1,2291369,2294558
1,2294566,2295489
1,2295553,2296497
1,2296023,2299544
1,2301375,2302121
1,2301380,2302021
1,2304435,2312399
1,2304766,2305031
1,2309534,2312385
1,2313581,2316507
1,2318143,2321664
1,2322543,2326570
1,2327315,2331148
1,2331136,2333767
1,2336477,2339391
1,2338904,2339321
1,2341447,2342148
1,2342198,2344314
1,2344390,2346889
1,2348915,2351799
1,2353031,2356413
1,2359111,2366736
1,2367437,2368436
1,2368833,2369735
1,2370020,2374607
1,2376012,2377186
1,2377976,2379207
1,2379595,2381390
1,2381555,2386157
1,2386164,2388350
1,2390531,2392628
1,2394801,2397272
1,2397442,2400508
1,2397527,2398696
1,2400589,2402942
1,2403558,2403845
1,2403992,2406049
1,2407411,2409791
1,2409865,2412777
1,2412938,2413790
1,2414143,2414967
1,2416178,2420829
1,2421089,2422066
1,2422126,2423803
1,2424045,2426728
1,2426705,2429225
1,2428773,2432091
1,2428911,2429431
1,2433896,2435858
1,2435858,2436861
1,2437281,2439665
1,2442570,2443746
1,2443918,2445140
1,2443971,2444123
1,2445437,2454645
1,2454771,2457321
1,2458184,2460817
1,2462949,2465545
1,2465729,2467165
1,2467145,2469316
1,2469218,2472806
1,2473165,2475128
1,2475226,2476167
1,2476953,2483196
1,2483240,2485726
1,2485281,2485724
1,2485848,2488085
1,2489409,2493327
1,2494402,2495313
1,2495309,2498764
1,2498794,2501581
1,2501704,2511084
1,2511647,2513454
1,2514150,2516620
1,2516991,2518611
1,2524023,2526322
1,2527170,2529120
1,2535251,2537932
1,2538615,2539661
1,2539614,2542362
1,2542663,2547946
1,2548496,2551544
1,2551935,2555229
1,2556191,2559228
1,2559413,2560432
1,2561449,2562316
1,2562769,2563706
1,2564361,2565318
1,2567420,2573448
1,2573818,2576844
1,2576984,2580754
1,2581022,2583390
1,2583594,2586969
1,2588776,2590609
1,2588854,2606892
1,2606269,2607507
1,2607877,2609971
1,2609996,2613377
1,2614774,2618823
1,2618647,2620452
1,2620335,2621545
1,2621860,2628594
1,2630891,2632871
1,2632810,2635866
1,2635939,2638004
1,2638037,2640663
1,2640803,2641934
1,2642072,2643285
1,2643019,2646048
1,2646144,2649440
1,2649459,2657120
1,2658602,2661310
1,2662967,2665584
1,2667798,2671957
1,2672198,2674721
1,2675813,2679824
1,2682058,2684171
1,2684176,2685702
1,2685659,2688658
1,2688880,2690250
1,2691062,2694547
1,2696381,2701022
1,2700981,2703162
1,2703295,2706860
1,2706868,2709988
1,2709525,2711000
1,2712694,2714833
1,2714994,2716532
1,2718538,2722280
1,2723677,2733613
1,2733596,2735819
1,2736656,2743881
1,2743761,2747967
1,2748361,2751620
1,2751813,2752595
1,2752124,2753809
1,2756904,2759889
1,2760183,2761599
1,2762584,2768967
1,2768965,2769508
1,2769615,2771477
1,2771620,2773531
1,2773941,2779308
1,2779438,2788477
1,2801042,2804711
1,2805044,2808623
1,2808760,2809775
1,2809778,2811313
1,2811989,2812782
1,2812818,2818071
1,2819065,2820478
1,2821354,2825481
1,2827060,2829315
1,2829105,2838855
1,2838789,2841134
1,2841969,2846350
1,2846894,2848100
1,2848149,2852270
1,2852363,2855941
1,2856162,2861170
1,2867203,2870745
1,2873300,2877270
1,2877430,2879169
1,2879506,2882234
1,2882491,2884342
1,2884351,2886621
1,2887245,2887706
1,2888427,2890965
1,2891019,2895182
1,2895166,2899446
1,2899776,2904862
1,2908611,2909032
1,2911250,2915406
1,2916968,2921111
1,2921064,2925826
1,2927502,2929107
1,2929217,2931850
1,2932739,2936586
1,2936528,2939363
1,2939568,2942345
1,2942538,2945976
1,2946030,2949159
1,2949621,2950989
1,2951635,2952490
1,2952597,2955745
1,2956261,2962546
1,2964015,2964727
1,2965023,2965972
1,2966120,2967733
1,2967940,2971568
1,2971571,2972334
1,2972638,2977002
1,2977792,2979466
1,2979511,2982713
1,2984829,2986231
1,2986874,2987393
1,2989141,2990427
1,2993381,2993820
1,2994331,2998222
1,2998100,3001362
1,3001439,3003762
1,3003495,3008381
1,3008910,3009898
1,3009890,3012407
1,3012739,3015255
1,3015237,3018542
1,3019639,3021443
1,3021802,3022368
1,3024877,3025539
1,3026062,3029549
1,3031046,3033582
1,3033512,3035396
1,3035400,3037687
1,3037754,3038408
1,3038462,3041873
1,3041996,3045541
1,3045259,3048006
1,3048966,3053163
1,3053698,3055360
1,3055231,3057543
1,3057975,3060757
1,3061170,3061743
1,3063936,3065949
1,3066674,3068796
1,3069357,3070910
1,3070915,3072074
1,3075768,3079654
1,3086101,3087914
1,3089576,3092327
1,3093644,3094954
1,3095160,3100819
1,3101149,3103677
1,3104492,3106366
1,3106367,3107801
1,3107896,3111552
1,3111694,3112873
1,3112778,3116699
1,3117137,3117567
1,3118155,3119815
1,3119739,3122542
1,3122926,3124667
1,3125175,3127284
1,3127762,3131094
1,3133008,3133674
1,3133885,3135976
1,3136188,3137684
1,3137649,3140353
1,3140862,3144381
1,3144438,3147303
1,3147637,3154404
1,3154390,3156376
1,3157501,3159148
1,3159125,3161692
1,3161832,3165616
1,3165370,3167924
1,3168434,3171018
1,3171905,3173510
1,3173534,3176910
1,3176883,3180734
1,3180926,3184224
1,3187442,3188854
1,3189301,3190242
1,3190254,3192488
1,3192568,3195044
1,3195719,3200403
1,3201685,3204150
1,3204016,3205411
1,3205579,3208714
1,3208712,3213468
1,3214049,3217603
1,3218133,3219929
1,3220035,3224541
1,3224684,3227083
1,3227490,3230257
1,3230450,3233259
1,3233924,3235530
1,3236908,3239554
1,3240531,3241863
1,3243986,3247216
1,3252098,3255782
1,3256189,3261741
1,3262222,3263642
1,3263850,3265176
1,3265886,3268823
1,3269539,3272110
1,3273753,3275953
1,3275891,3278779
1,3278792,3283631
1,3284073,3287292
1,3288087,3290471
1,3290311,3296198
1,3296516,3300516
1,3300697,3301489
1,3302564,3303938
1,3304039,3306956
1,3310930,3322269
1,3322554,3323735
1,3325799,3327614
1,3325825,3328448
1,3333504,3338188
1,3338185,3341628
1,3343686,3345632
1,3346383,3348139
1,3349082,3351180
1,3351923,3353122
1,3354243,3354856
1,3355675,3356151
1,3356627,3359853
1,3360087,3360508
1,3363432,3366493
1,3366493,3369125
1,3370402,3377463
1,3377878,3380414
1,3381447,3384003
1,3384118,3388376
1,3388599,3390150
1,3390322,3392633
1,3392943,3395181
1,3395551,3396953
1,3396883,3398358
1,3400554,3402420
1,3403132,3405920
1,3406956,3412874
1,3412474,3412742
1,3414823,3416474
1,3416430,3419691
1,3424186,3427531
1,3428478,3430924
1,3431764,3438370
1,3438555,3439013
1,3439030,3440359
1,3441988,3444360
1,3449567,3451226
1,3453191,3460620
1,3460000,3461485
1,3461635,3465786
1,3465926,3469455
1,3469512,3471488
1,3471456,3472674
1,3474858,3478028
1,3479066,3481041
1,3484399,3486965
1,3487386,3491277
1,3491258,3493834
1,3493770,3495244
1,3496911,3499439
1,3501145,3501904
1,3501988,3503544
1,3503640,3506159
1,3506186,3509006
1,3509001,3512321
1,3512739,3514824
1,3515182,3518035
1,3523986,3526531
1,3530353,3532017
1,3532229,3535137
1,3535288,3538439
1,3538333,3543925
1,3549920,3550848
1,3554104,3556544
1,3558358,3560705
1,3561149,3561495
1,3562180,3562554
1,3562841,3564850
1,3565257,3568106
1,3567905,3571053
1,3572674,3573173
1,3574312,3574830
1,3574807,3578783
1,3580830,3590928
1,3591633,3592580
1,3592680,3595220
1,3596264,3597847
1,3598069,3598885
1,3599083,3600877
1,3600910,3605076
1,3605512,3607580
1,3607631,3610616
1,3611490,3614613
1,3614513,3616308
1,3616610,3623806
1,3623998,3625422
1,3625623,3627082
1,3627646,3630808
1,3632132,3637250
1,3639835,3644187
1,3644180,3647784
1,3647876,3655685
1,3655673,3658612
1,3659204,3664264
1,3664187,3665040
1,3665087,3667139
1,3667224,3669935
1,3670243,3671191
1,3671756,3676133
1,3676691,3678567
1,3678981,3681032
1,3681679,3684169
1,3684568,3689892
1,3690012,3694200
1,3694328,3698013
1,3702608,3703779
1,3703672,3709586
1,3710208,3712503
1,3712971,3713735
1,3715084,3717659
1,3718652,3719832
1,3722708,3727450
1,3727532,3728166
1,3733044,3739844
1,3740664,3744675
1,3745774,3748557
1,3750066,3752780
1,3753213,3755658
1,3755668,3756998
1,3759862,3761461
1,3763268,3764483
1,3766754,3769799
1,3768521,3770102
1,3777236,3780823
1,3780386,3787099
1,3787318,3790935
1,3791168,3794088
1,3794243,3797507
1,3797667,3800851
1,3800500,3804233
1,3806822,3808940
1,3809795,3813809
1,3813907,3817420
1,3817424,3820887
1,3821106,3823088
1,3824510,3825231
1,3827851,3831068
1,3832563,3834462
1,3834432,3837676
1,3837694,3841218
1,3840877,3844479
1,3844461,3846956
1,3847220,3849224
1,3849201,3850735
1,3853184,3855507
1,3856942,3859465
1,3859662,3860604
1,3862399,3864074
1,3864043,3867000
1,3868884,3870525
1,3870679,3871702
1,3871723,3872929
1,3873029,3873619
1,3874396,3875484
1,3875442,3877323
1,3878495,3880391
1,3881627,3882819
1,3883167,3884129
1,3884342,3884960
1,3888610,3890824
1,3892580,3894677
1,3895130,3896019
1,3898002,3898609
1,3901950,3903895
1,3905579,3906818
1,3906862,3909338
1,3910833,3911924
1,3912754,3914465
1,3914774,3918243
1,3919237,3919869
1,3920478,3924566
1,3928115,3931701
1,3938422,3940871
1,3941103,3941459
1,3941469,3942212
1,3945584,3946757
1,3948714,3951359
1,3951366,3957044
1,3957284,3960464
1,3963054,3966850
1,3967476,3969877
1,3969681,3971911
1,3971986,3973294
1,3973874,3974594
1,3975607,3977379
1,3976839,3979237
1,3979823,3981079
1,3981153,3985219
1,3985184,3987290
1,3989763,3991066
1,3991027,3993707
1,3995158,3997965
1,3999157,4000024
1,4001113,4003748
1,4003757,4007015
1,4007705,4010461
1,4010757,4013104
1,4013121,4014688
1,4014782,4016544
1,4016712,4021043
1,4021750,4023292
1,4023533,4025113
1,4025930,4026733
1,4028595,4030656
1,4031534,4034155
1,4034479,4039065
1,4039566,4044046
1,4044370,4044669
1,4045619,4045855
1,4046079,4049140
1,4049896,4053871
1,4056165,4057968
1,4061363,4063549
1,4064485,4066344
1,4069992,4072681
1,4072741,4076207
1,4076226,4077230
1,4077498,4078095
1,4078547,4080236
1,4084162,4085185
1,4089664,4090857
1,4095246,4095883
1,4105223,4109601
1,4114674,4117614
1,4118594,4120959
1,4121285,4124595
1,4123530,4125651
1,4125990,4128310
1,4128607,4129701
1,4130396,4131168
1,4132967,4134094
1,4137511,4140158
1,4140216,4143916
1,4140875,4144114
1,4144257,4147939
1,4147962,4151056
1,4153641,4157653
1,4157654,4159046
1,4159227,4161506
1,4162826,4165928
1,4172035,4174730
1,4174875,4178021
1,4177917,4182593
1,4183010,4186247
1,4186624,4190342
1,4186653,4188233
1,4194420,4196749
1,4197396,4198310
1,4198337,4200849
1,4200864,4206486
1,4206360,4208999
1,4214258,4217412
1,4220044,4221803
1,4221779,4222875
1,4223030,4225254
1,4225321,4225482
1,4226239,4229211
1,4233717,4238795
1,4241421,4243229
1,4243904,4245993
1,4247218,4250758
1,4250945,4257392
1,4257268,4259300
1,4260783,4261869
1,4263150,4265156
1,4267074,4268982
1,4268986,4270907
1,4272888,4274206
1,4274531,4276031
1,4276505,4277969
1,4277947,4281131
1,4282794,4285876
1,4286204,4289069
1,4289883,4291017
1,4294055,4294540
1,4294552,4297178
1,4298666,4299571
1,4303280,4305907
1,4305791,4308007
1,4308943,4309749
1,4310969,4311519
1,4312331,4312935
1,4318309,4319090
1,4319877,4323265
1,4323533,4326377
1,4326739,4328616
1,4334499,4337957
1,4342209,4344875
1,4344943,4348390
1,4348498,4350993
1,4351019,4353797
1,4353842,4355929
1,4355926,4358894
1,4358895,4361371
1,4361551,4365414
1,4366577,4367136
1,4367256,4368822
1,4368760,4371298
1,4374205,4378514
1,4374249,4375247
1,4378832,4379607
1,4379694,4381764
1,4382160,4383673
1,4384304,4386651
1,4387129,4389110
1,4389678,4391344
1,4391671,4392393
1,4392438,4394454
1,4394897,4396291
1,4396348,4398193
1,4398322,4405669
1,4416315,4418590
1,4419714,4422684
1,4422707,4423155
1,4423540,4425936
1,4429718,4430965
1,4433605,4436102
1,4436101,4439639
1,4440404,4443954
1,4444043,4447412
1,4447549,4450001
1,4449713,4451742
1,4452190,4454900
1,4459002,4460996
1,4461738,4463469
1,4463859,4465725
1,4467094,4469033
1,4469144,4473319
1,4474684,4478005
1,4478384,4480327
1,4479025,4479709
1,4481875,4483751
1,4484584,4488577
1,4488533,4492667
1,4494924,4498469
1,4498764,4501624
1,4501581,4503676
1,4507221,4508528
1,4508906,4514010
1,4515464,4520306
1,4520559,4522644
1,4525414,4526204
1,4528485,4530222
1,4542168,4543970
1,4544889,4547373
1,4547388,4548894
1,4550153,4551620
1,4556878,4558793
1,4561028,4563160
1,4563428,4567849
1,4567935,4570598
1,4569448,4571229
1,4572304,4576711
1,4576873,4578369
1,4587780,4588661
1,4588994,4590501
1,4592304,4594468
1,4597567,4599141
1,4601235,4603635
1,4604688,4606067
1,4606500,4607780
1,4608077,4610878
1,4612731,4615353
1,4615767,4618449
1,4620101,4621585
1,4622550,4624081
1,4624171,4624344
1,4624564,4626166
1,4627789,4629169
1,4629203,4630821
1,4631633,4633299
1,4633590,4635129
1,4635463,4636805
1,4636984,4638330
1,4638468,4642190
1,4642124,4644422
1,4644521,4647142
1,4647815,4649066
1,4650606,4651549
1,4658538,4659115
1,4660778,4661331
1,4661682,4662428
1,4662698,4663253
1,4663831,4666130
1,4668366,4669471
1,4669425,4673073
1,4674152,4676484
1,4677004,4679862
1,4680290,4682382
1,4688018,4689265
1,4690293,4692841
1,4693282,4694410
1,4694372,4696023
1,4702657,4704694
1,4709757,4712672
1,4713433,4715407
1,4715394,4718269
1,4718673,4719354
1,4720243,4721342
1,4721574,4724520
1,4724544,4726558
1,4726770,4730425
1,4730395,4733869
1,4730987,4731055
1,4733991,4735453
1,4735474,4737910
1,4738441,4739345
1,4739693,4741189
1,4743204,4746956
1,4747186,4748666
1,4748831,4751234
1,4751432,4753018
1,4753099,4755656
1,4755777,4758076
1,4758084,4760238
1,4760957,4762666
1,4762479,4766852
1,4773434,4774935
1,4776283,4779420
1,4779351,4782546
1,4788463,4794654
1,4794664,4796599
1,4797358,4800283
1,4800169,4801850
1,4802720,4805375
1,4805306,4807517
1,4810115,4814724
1,4815683,4815988
1,4816928,4818112
1,4822439,4824414
1,4827961,4829587
1,4830297,4831915
1,4833396,4835089
1,4835724,4837771
1,4837927,4839633
1,4839801,4840823
1,4840562,4841848
1,4843184,4845913
1,4847162,4849413
1,4850117,4852096
1,4852522,4854307
1,4854224,4855287
1,4855533,4856762
1,4856778,4857975
1,4858450,4859661
1,4861168,4864094
1,4864881,4868011
1,4868346,4871488
1,4872856,4874907
1,4874875,4877256
1,4877506,4879307
1,4880030,4882265
1,4882336,4884818
1,4884951,4886793
1,4886768,4887933
1,4888114,4889704
1,4890069,4892332
1,4897346,4899035
1,4899045,4900054
1,4907887,4911168
1,4911093,4913167
1,4915491,4918138
1,4918010,4921682
1,4924037,4926914
1,4926486,4928812
1,4928921,4931080
1,4931485,4933662
1,4934120,4936194
1,4938754,4941332
1,4946192,4947670
1,4947121,4947976
1,4947819,4948400
1,4948638,4953284
1,4954037,4955702
1,4956231,4958076
1,4958445,4959529
1,4960308,4961800
